epsilon,leakage,utility,mask_size
0.5,1.0,-0.8333333333333333,8
0.5,1.0,-0.7916666666666667,7
0.5,1.0,-0.625,3
0.5,1.0,-0.9166666666666667,10
0.5,1.0,-0.5,0
0.5,1.0,-0.5833333333333334,2
0.5,1.0,-0.8333333333333333,8
0.5,1.0,-0.8333333333333333,8
0.5,0.0,-0.5,12
0.5,1.0,-0.7916666666666667,7
0.5,1.0,-0.5833333333333334,2
0.5,1.0,-0.875,9
0.5,1.0,-0.5,0
0.5,1.0,-0.875,9
0.5,1.0,-0.875,9
0.5,1.0,-0.6666666666666666,4
0.5,1.0,-0.9166666666666667,10
0.5,1.0,-0.7916666666666667,7
0.5,1.0,-0.625,3
0.5,1.0,-0.7083333333333334,5
0.5,1.0,-0.6666666666666666,4
0.5,1.0,-0.75,6
0.5,1.0,-0.9166666666666667,10
0.5,1.0,-0.9166666666666667,10
0.5,1.0,-0.75,6
0.5,1.0,-0.8333333333333333,8
0.5,1.0,-0.9166666666666667,10
0.5,1.0,-0.875,9
0.5,1.0,-0.8333333333333333,8
0.5,1.0,-0.875,9
0.5,1.0,-0.875,9
0.5,1.0,-0.7916666666666667,7
0.5,1.0,-0.9166666666666667,10
0.5,1.0,-0.625,3
0.5,0.0,-0.5,12
0.5,0.0,-0.5,12
0.5,1.0,-0.7916666666666667,7
0.5,1.0,-0.6666666666666666,4
0.5,1.0,-0.5,0
0.5,1.0,-0.9166666666666667,10
0.5,1.0,-0.5,0
0.5,1.0,-0.6666666666666666,4
0.5,1.0,-0.875,9
0.5,1.0,-0.8333333333333333,8
0.5,1.0,-0.5833333333333334,2
0.5,1.0,-0.625,3
0.5,1.0,-0.6666666666666666,4
0.5,1.0,-0.9583333333333333,11
0.5,1.0,-0.7916666666666667,7
0.5,1.0,-0.7916666666666667,7
0.5,1.0,-0.6764705882352942,6
0.5,1.0,-0.7352941176470589,8
0.5,1.0,-0.8529411764705883,12
0.5,1.0,-0.6470588235294118,5
0.5,1.0,-0.9117647058823529,14
0.5,1.0,-0.8529411764705883,12
0.5,1.0,-0.8529411764705883,12
0.5,1.0,-0.7941176470588236,10
0.5,1.0,-0.7058823529411764,7
0.5,1.0,-0.8529411764705883,12
0.5,1.0,-0.8529411764705883,12
0.5,1.0,-0.9117647058823529,14
0.5,1.0,-0.5,0
0.5,1.0,-0.7352941176470589,8
0.5,1.0,-0.9117647058823529,14
0.5,1.0,-0.8823529411764706,13
0.5,1.0,-0.8235294117647058,11
0.5,1.0,-0.7058823529411764,7
0.5,1.0,-0.9117647058823529,14
0.5,1.0,-0.8823529411764706,13
0.5,1.0,-0.7058823529411764,7
0.5,1.0,-0.5882352941176471,3
0.5,1.0,-0.5882352941176471,3
0.5,1.0,-0.5,0
0.5,1.0,-0.5588235294117647,2
0.5,1.0,-0.8823529411764706,13
0.5,1.0,-0.8529411764705883,12
0.5,1.0,-0.8235294117647058,11
0.5,1.0,-0.5882352941176471,3
0.5,1.0,-0.7647058823529411,9
0.5,1.0,-0.7941176470588236,10
0.5,1.0,-0.5294117647058824,1
0.5,1.0,-0.5,0
0.5,1.0,-0.9117647058823529,14
0.5,1.0,-0.7647058823529411,9
0.5,1.0,-0.5882352941176471,3
0.5,1.0,-0.8529411764705883,12
0.5,1.0,-0.6176470588235294,4
0.5,1.0,-0.6470588235294118,5
0.5,1.0,-0.8823529411764706,13
0.5,1.0,-0.9117647058823529,14
0.5,1.0,-0.9117647058823529,14
0.5,1.0,-0.6470588235294118,5
0.5,1.0,-0.5882352941176471,3
0.5,1.0,-0.7647058823529411,9
0.5,1.0,-0.6764705882352942,6
0.5,1.0,-0.8529411764705883,12
0.5,1.0,-0.5882352941176471,3
0.5,1.0,-0.9117647058823529,14
0.5,1.0,-0.6176470588235294,4
0.5,1.0,-0.6428571428571428,2
0.5,1.0,-0.5,0
0.5,9.999778782798785e-13,-0.2857142857147857,4
0.5,1.0,-0.6428571428571428,2
0.5,1.0,-0.5714285714285714,1
0.5,0.0,-0.2857142857142857,4
0.5,0.0,-0.42857142857142855,6
0.5,1.0,-0.6428571428571428,2
0.5,1.0,-0.7142857142857143,3
0.5,1.0,-0.7142857142857143,3
0.5,0.0,-0.5,7
0.5,1.0,-0.5714285714285714,1
0.5,9.999778782798785e-13,-0.35714285714335714,5
0.5,1.0,-0.6428571428571428,2
0.5,1.0,-0.7142857142857143,3
0.5,1.0,-0.6428571428571428,2
0.5,1.0,-0.7142857142857143,3
0.5,1.0,-0.6428571428571428,2
0.5,0.0,-0.5,7
0.5,1.0,-0.6428571428571428,2
0.5,1.999955756559757e-12,-0.35714285714385713,5
0.5,1.0,-0.6428571428571428,2
0.5,0.0,-0.42857142857142855,6
0.5,1.0,-0.5,0
0.5,1.0,-0.5,0
0.5,9.999778782798785e-13,-0.35714285714335714,5
0.5,1.0,-0.6428571428571428,2
0.5,9.999778782798785e-13,-0.2857142857147857,4
0.5,9.999778782798785e-13,-0.2857142857147857,4
0.5,9.999778782798785e-13,-0.35714285714335714,5
0.5,1.0,-0.5,0
0.5,1.0,-0.5,0
0.5,1.0,-0.6428571428571428,2
0.5,0.0,-0.35714285714285715,5
0.5,0.0,-0.5,7
0.5,0.0,-0.5,7
0.5,1.0,-0.5,0
0.5,9.999778782798785e-13,-0.35714285714335714,5
0.5,0.0,-0.2857142857142857,4
0.5,9.999778782798785e-13,-0.35714285714335714,5
0.5,1.0,-0.6428571428571428,2
0.5,0.0,-0.42857142857142855,6
0.5,0.0,-0.5,7
0.5,1.0,-0.5,0
0.5,0.0,-0.42857142857142855,6
0.5,0.0,-0.35714285714285715,5
0.5,1.0,-0.7857142857142857,4
0.5,0.0,-0.42857142857142855,6
0.5,0.0,-0.5,7
0.5,1.0,-0.7142857142857143,3
0.5,1.0,-0.6,2
0.5,1.0,-0.7,4
0.5,0.0,-0.3,6
0.5,0.0,-0.2,4
0.5,0.0,-0.3,6
0.5,1.0,-0.6,2
0.5,1.0,-0.5,0
0.5,1.0,-0.5,0
0.5,0.0,-0.1,2
0.5,0.0,-0.3,6
0.5,1.0,-0.5,0
0.5,0.0,-0.25,5
0.5,1.0,-0.55,1
0.5,1.0,-0.5,0
0.5,1.0,-0.5,0
0.5,0.0,-0.15,3
0.5,1.0,-0.7,4
0.5,1.0,-0.8,6
0.5,0.0,-0.3,6
0.5,0.0,-0.3,6
0.5,0.0,-0.3,6
0.5,1.0,-0.8,6
0.5,0.0,-0.3,6
0.5,1.0,-0.5,0
0.5,0.0,-0.3,6
0.5,1.0,-0.6,2
0.5,0.0,-0.25,5
0.5,1.0,-0.8,6
0.5,1.0,-0.8,6
0.5,1.0,-0.7,4
0.5,0.0,-0.3,6
0.5,1.0,-0.65,3
0.5,1.0,-0.8,6
0.5,1.0,-0.55,1
0.5,1.0,-0.7,4
0.5,1.0,-0.8,6
0.5,1.0,-0.8,6
0.5,1.0,-0.8,6
0.5,0.0,-0.3,6
0.5,0.0,-0.3,6
0.5,1.0,-0.6,2
0.5,1.0,-0.8,6
0.5,1.0,-0.5,0
0.5,1.0,-0.75,5
0.5,1.0,-0.6,2
0.5,1.0,-0.8,6
0.5,1.0,-0.8,6
0.5,1.0,-0.6,2
0.5,0.0,-0.3,6
0.5,1.0,-0.65,3
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,0.0,-0.21428571428571427,6
0.5,0.0,-0.21428571428571427,6
0.5,0.0,-0.21428571428571427,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.5357142857142857,1
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.5,0
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.6785714285714286,5
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.5357142857142857,1
0.5,1.0,-0.6428571428571428,4
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.6785714285714286,5
0.5,1.0,-0.5,0
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.6785714285714286,5
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.5,0
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.5714285714285714,2
0.5,1.0,-0.6785714285714286,5
0.5,0.0,-0.21428571428571427,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
0.5,1.0,-0.7142857142857143,6
epsilon,leakage,utility,mask_size
1,1.0,-0.8,9
1,0.0,-0.3333333333333333,10
1,1.0,-0.7666666666666666,8
1,1.0,-0.8,9
1,0.0,-0.5,15
1,1.0,-0.7,6
1,0.0,-0.4,12
1,0.0,-0.4,12
1,1.0,-0.7666666666666666,8
1,1.0,-0.5666666666666667,2
1,0.0,-0.4666666666666667,14
1,0.0,-0.3,9
1,1.0,-0.6666666666666666,5
1,1.0,-0.7333333333333334,7
1,1.0,-0.7666666666666666,8
1,1.0,-0.7666666666666666,8
1,1.0,-0.7666666666666666,8
1,1.0,-0.5333333333333333,1
1,1.0,-0.7333333333333334,7
1,0.0,-0.43333333333333335,13
1,1.0,-0.5666666666666667,2
1,1.0,-0.7666666666666666,8
1,1.0,-0.6,3
1,0.0,-0.43333333333333335,13
1,0.0,-0.5,15
1,1.0,-0.8333333333333333,10
1,0.0,-0.4666666666666667,14
1,1.0,-0.5333333333333333,1
1,1.0,-0.6,3
1,1.0,-0.6666666666666666,5
1,0.0,-0.4666666666666667,14
1,0.0,-0.4666666666666667,14
1,0.0,-0.4,12
1,1.0,-0.7333333333333334,7
1,1.0,-0.7666666666666666,8
1,1.0,-0.6666666666666666,5
1,1.0,-0.5666666666666667,2
1,1.0,-0.8333333333333333,10
1,1.0,-0.7,6
1,1.0,-0.7666666666666666,8
1,0.0,-0.43333333333333335,13
1,1.0,-0.5666666666666667,2
1,1.0,-0.5666666666666667,2
1,1.0,-0.5333333333333333,1
1,1.0,-0.8666666666666667,11
1,1.0,-0.8333333333333333,10
1,1.0,-0.7333333333333334,7
1,1.0,-0.7333333333333334,7
1,1.0,-0.7333333333333334,7
1,1.0,-0.5666666666666667,2
1,1.0,-0.8333333333333333,8
1,1.0,-0.7916666666666667,7
1,1.0,-0.9583333333333333,11
1,1.0,-0.5,0
1,1.0,-0.9166666666666667,10
1,1.0,-0.7916666666666667,7
1,1.0,-0.9583333333333333,11
1,1.0,-0.5833333333333334,2
1,1.0,-0.5,0
1,0.0,-0.5,12
1,1.0,-0.7916666666666667,7
1,1.0,-0.5,0
1,1.0,-0.5833333333333334,2
1,1.0,-0.7083333333333334,5
1,1.0,-0.9583333333333333,11
1,0.0,-0.5,12
1,1.0,-0.5,0
1,0.0,-0.5,12
1,1.0,-0.9583333333333333,11
1,1.0,-0.625,3
1,1.0,-0.75,6
1,1.0,-0.625,3
1,1.0,-0.625,3
1,0.0,-0.5,12
1,1.0,-0.625,3
1,1.0,-0.5,0
1,1.0,-0.9166666666666667,10
1,1.0,-0.5,0
1,1.0,-0.7916666666666667,7
1,0.0,-0.5,12
1,1.0,-0.5,0
1,1.0,-0.5416666666666666,1
1,1.0,-0.5,0
1,1.0,-0.5416666666666666,1
1,1.0,-0.5,0
1,1.0,-0.6666666666666666,4
1,1.0,-0.8333333333333333,8
1,1.0,-0.6666666666666666,4
1,1.0,-0.625,3
1,1.0,-0.7916666666666667,7
1,1.0,-0.9166666666666667,10
1,1.0,-0.9166666666666667,10
1,1.0,-0.5833333333333334,2
1,1.0,-0.6666666666666666,4
1,1.0,-0.9583333333333333,11
1,1.0,-0.6666666666666666,4
1,1.0,-0.8333333333333333,8
1,1.0,-0.7916666666666667,7
1,1.0,-0.7916666666666667,7
1,1.0,-0.6666666666666666,4
1,1.0,-0.9117647058823529,14
1,1.0,-0.5588235294117647,2
1,1.0,-0.7941176470588236,10
1,1.0,-0.7941176470588236,10
1,1.0,-0.7647058823529411,9
1,1.0,-0.6176470588235294,4
1,1.0,-0.7058823529411764,7
1,1.0,-0.5,0
1,1.0,-0.8235294117647058,11
1,1.0,-0.7058823529411764,7
1,1.0,-0.6470588235294118,5
1,1.0,-0.7352941176470589,8
1,1.0,-0.5,0
1,1.0,-0.6470588235294118,5
1,1.0,-0.5588235294117647,2
1,1.0,-0.6176470588235294,4
1,1.0,-0.6176470588235294,4
1,1.0,-0.5882352941176471,3
1,1.0,-0.9117647058823529,14
1,1.0,-0.9117647058823529,14
1,1.0,-0.8823529411764706,13
1,1.0,-0.6764705882352942,6
1,1.0,-0.6176470588235294,4
1,1.0,-0.6176470588235294,4
1,1.0,-0.7941176470588236,10
1,1.0,-0.5588235294117647,2
1,1.0,-0.7941176470588236,10
1,1.0,-0.7058823529411764,7
1,1.0,-0.9117647058823529,14
1,1.0,-0.6764705882352942,6
1,1.0,-0.9117647058823529,14
1,1.0,-0.8823529411764706,13
1,1.0,-0.7058823529411764,7
1,1.0,-0.9117647058823529,14
1,1.0,-0.5294117647058824,1
1,1.0,-0.7352941176470589,8
1,1.0,-0.6176470588235294,4
1,1.0,-0.8529411764705883,12
1,1.0,-0.6470588235294118,5
1,1.0,-0.6470588235294118,5
1,1.0,-0.8823529411764706,13
1,1.0,-0.5294117647058824,1
1,1.0,-0.6176470588235294,4
1,1.0,-0.5,0
1,1.0,-0.5294117647058824,1
1,1.0,-0.9117647058823529,14
1,1.0,-0.6470588235294118,5
1,1.0,-0.8235294117647058,11
1,1.0,-0.6176470588235294,4
1,1.0,-0.6764705882352942,6
1,9.999778782798785e-13,-0.35714285714335714,5
1,1.0,-0.5,0
1,1.0,-0.5,0
1,1.0,-0.5,0
1,1.0,-0.5,0
1,0.0,-0.35714285714285715,5
1,1.999955756559757e-12,-0.35714285714385713,5
1,1.0,-0.5714285714285714,1
1,1.0,-0.7142857142857143,3
1,0.0,-0.5,7
1,1.0,-0.5,0
1,1.0,-0.7857142857142857,4
1,9.999778782798785e-13,-0.21428571428621426,3
1,0.0,-0.42857142857142855,6
1,1.0,-0.7142857142857143,3
1,1.0,-0.7142857142857143,3
1,1.0,-0.7142857142857143,3
1,1.0,-0.5,0
1,1.0,-0.6428571428571428,2
1,1.0,-0.6428571428571428,2
